"Organisation","csv","doc","docx","dot","eps","gif","jpg","odp","ods","odt","pdf","png","ppt","pptx","rtf","txt","xls","xlsm","xlsx","xml","xsd","zip"
"Academy for Social Justice Commissioning",,,,,,,,,,,41,,,,,,,,,,,
"Administration of Radioactive Substances Advisory Committee",,,3,,,,,,,,3,,,,,,,,,,,
"Advisory Committee on Business Appointments",,2,,,,,,,,,286,,,,,,,,,,,
"Advisory Committee on Clinical Excellence Awards",,5,1,,,,,,1,,8,,,,5,,,,5,,,
"Advisory Committee on Releases to the Environment",,,,,,,,,,,7,,,,,,,,,,,
"Advisory Council on the Misuse of Drugs",,,,,,,,,,,12,,,,,,,,,,,
"Advisory, Conciliation and Arbitration Service",,,,,,,,,,,2,,,,,,,,,,,
"Agriculture and Horticulture Development Board",,,,,,,,,,,4,,,,,,,,,,,
"Air Accidents Investigation Branch",,,,,,,,,,,31,,,,,,,,,,,
"Airports Commission",,,,,,,,,,,2,,,,,,,,,,,
"Animal and Plant Health Agency",3,33,2,,,,,,5,5,1114,,,,,,7,,6,,,2
"Animal Health and Veterinary Laboratories Agency",,,,,,,,,,,4,,,,,,,,,,,
"Animals in Science Committee",,,,,,,,,,,14,,,,,,,,,,,
"Architects Registration Board",,,,,,,,,,,2,,,,,,,,,,,
"Armed Forces' Pay Review Body",,,,,,,,,2,,4,,,,,,,,1,,,
"Arts and Humanities Research Council",,,,,,,,,,,2,,,,,,,,,,,
"Arts Council England",,,,,,,,,,,3,,,,,,,,,,,
"Attorney General's Office",71,1,2,,,,,,,,19,,,,,1,3,,11,,,
"Bank of England",,,,,,,,,,,3,,,,,,,,,,,
"BBC",,,,,,,,,,,1,,,,,,,,,,,
"Big Lottery Fund",,,,,,,,,,,3,,,,,,,,,,,
"Biometrics and Forensics Ethics Group",,,,,,,,,,,6,,,,,,,,,,,
"Biometrics Commissioner",,,,,,,,,,,7,,,,,,,,,,,
"Biotechnology and Biological Sciences Research Council",,,,,,,,,,,2,,,,,,,,,,,
"Board of Trustees of the Royal Botanic Gardens Kew",,,,,,,,,,,2,,,,,,,,,,,
"Bona Vacantia",2,2,1,,,,,,,,1,,,,,,,,,,,
"Border Force",,,,,,,,,49,,10,,,,,,1,,,,,
"BPDTS Ltd",,,,,,,,,,,1,,,,,,,,,,,
"British Cattle Movement Service",,,,,,,,,,,27,,1,,,,,,,,,
"British Hallmarking Council",,,2,,,,,,,,9,,,,,,,,,,,
"British Transport Police Authority",,,,,,,,,,,9,,,,,,,,,,,
"Building Regulations Advisory Committee",,,,,,,,,,,1,,,,,,,,,,,
"Cabinet Office",561,8,43,,,,4,,9,10,620,,,6,,,14,,55,,,
"Cafcass",,,,,,,,,,,2,,,,,,,,,,,
"Care Quality Commission",,4,5,,,,,,,,65,,,,,,,,1,,,
"Central Arbitration Committee",,39,1,,,,,,,,155,,,,,,,,,,,
"Centre for Connected and Autonomous Vehicles",,,,,,,,,,,19,,,,,,,,1,,,
"Centre for Defence Enterprise",,,,,,,,,,,2,,,,,,,,,,,
"Centre for Environment, Fisheries and Aquaculture Science",,5,3,,,,,,,,76,,,,,,1,,,,,
"Centre for the Protection of National Infrastructure",,,,,,,,,,,2,,,,,,,,,,,
"Certification Officer",,4,2,,,,,,,,1323,,,,,,,,,,,
"Chevening Scholarship Programme",1,,,,,,,,,,,,,,,,,,,,,
"Civil Aviation Authority",10,,1,,,,,,,,12,,,,,,,,,,,
"Civil Nuclear Constabulary",,1,,,,,,,,,63,,,,,,,,25,,,
"Civil Nuclear Police Authority",,1,,,,,,,,,63,,,,,,,,25,,,
"Civil Procedure Rule Committee",,1,,,,,,,,,,,,,,,,,,,,
"Civil Service",,1,1,,,,,,,,39,,1,1,,,,1,1,,,
"Civil Service Commission",,,,,,,,,,,2,,,,,,,,,,,
"Civil Service Fast Stream",,,,,,,,,,,3,,,,,,,,,,,
"Civil Service Fast Track Apprenticeship",,,1,,,,2,,,,19,,,,,,,,2,,,
"Civil Service Resourcing",,,3,,,,,,,,,,,,,,,,,,,
"Coal Authority",11,,5,,,,,,,1,92,,,,,,,,4,,,
"Commission on Human Medicines",,,1,,,,,,,,2,,,,,,,,,,,
"Committee on Climate Change",,,,,,,,,,,1,,,,,,,,,,,
"Committee on Fuel Poverty",,,,,,,,,,,25,,,,,,,,,,,
"Committee on Mutagenicity of Chemicals in Food, Consumer Products and the Environment",,,,,,,,,,,1,,,,,,,,,,,
"Committee on Radioactive Waste Management",,,,,,,,,,,15,,,,,,,,,,,
"Committee on Standards in Public Life",,2,49,,,,,,,,60,,,,,,,,12,,,
"Committee on Toxicity of Chemicals in Food, Consumer Products and the Environment",,,,,,,,,,,2,,,,,,,,,,,
"Commonwealth Scholarship Commission in the UK",,,,,,,,,,,9,,,,,,,,,,,
"Companies House",59,26,,,,,,,,,230,,,,,,,,10,,,
"Company Names Tribunal",,,2,,,,,,,,168,,,,117,,,,,,,
"Competition and Markets Authority",,,2,,,,1,,10,1,263,,1,,,,1,,2,,,
"Construction Industry Training Board",,,,,,,,,,,1,,,,,,,,,,,
"Consumer Council for Water",,,,,,,,,,,2,,,,,,,,,,,
"Copyright Tribunal",,,,,,,,,,,19,,,,,,1,,,,,
"Council for Science and Technology",,,,,,,,,,,6,,,,,,,,,,,
"Counter Fraud and Security Management Service",,,,,,,,,,,1,,,,,,,,,,,
"Covent Garden Market Authority",,,,,,,,,,,1,,,,,,,,,,,
"Criminal Injuries Compensation Authority",,,,,,,,,,,7,,,,,,,,2,,,
"Crown Commercial Service",2,4,42,,,,4,,1,2,161,,,,,,1,,10,,,
"Crown Prosecution Service",,,,,,,,,,,29,,,,,,,,,,,
"Defence and Security Accelerator",,1,3,,,,,,,1,16,,,,,,,,,,,
"Defence Electronics and Components Agency",,,,,,,,,,,9,,,,,,,,,,,
"Defence Equipment and Support",,1,,,,,,,,,24,,,,,,,,,,,
"Defence Infrastructure Organisation",,,,,,,,,,,100,,,,,,,,,,,
"Defence Safety Authority",,3,1,,,,,,,,7,,,,,,,,,,,
"Defence Science and Technology Laboratory",,5,14,,,,,,,,46,,,,,,,,1,,,
"Department for Business, Energy & Industrial Strategy",172,107,85,,,,,,23,,2415,,5,7,1,,304,28,383,1,,58
"Department for Business, Innovation & Skills",7,9,1,,,,,,,,49,,,,,,,1,6,,,
"Department for Digital, Culture, Media & Sport",116,14,68,,,,,,5,15,683,,,3,2,,4,1,127,,,
"Department for Education",158,9,94,,,,,,188,38,1763,,,16,,16,118,18,429,,3,61
"Department for Environment, Food & Rural Affairs",71,30,7,,5,,,,216,6,1542,,,2,,,68,4,18,,,11
"Department for Exiting the European Union",69,,1,,,,,,,,114,,,2,,,,,1,,,
"Department for International Development",255,5,7,,,,,,127,2,557,,,,,,9,,16,,,
"Department for International Trade",242,7,6,,,,,,,1,434,,1,,,,,,149,,,
"Department for International Trade Defence & Security Organisation",37,,,,,,,,,,8,,,,,,,,3,,,
"Department for Transport",190,75,12,,,,7,,1009,31,2099,,1,,11,4,135,6,76,,,219
"Department for Work and Pensions",96,47,24,,,,,,315,39,2206,,,,66,,192,7,69,1,,8
"Department of Agriculture, Environment and Rural Affairs (Northern Ireland)",,,,,,,,,,,1,,,,,,,,,,,
"Department of Energy & Climate Change",,,,,,,,,,,23,,,,,,,,,,,
"Department of Health and Social Care",101,11,19,,,,,,10,39,622,,,,5,,17,2,36,,,1
"DfT OLR Holdings Limited",,,,,,,,,,,2,,,,,,,,,,,
"Disabled People’s Employment Corporation (GB) Ltd",,,,,,,,,,,1,,,,,,,,,,,
"Disabled Persons Transport Advisory Committee",,,,,,,,,,,2,,,,,,,,,,,
"Disclosure and Barring Service",2,19,6,,,,,,48,26,91,,,,,,1,,2,,,
"Dounreay",,,,,,,,,,,40,,,,,,,,,,,
"Driver and Vehicle Licensing Agency",67,,,,,,,,101,,394,,,,,,9,,17,,,19
"Driver and Vehicle Standards Agency",102,19,2,,,,,,107,12,286,,,1,,,5,1,14,,,5
"Driving Standards Agency",1,,,,,,,,,,52,,,,,,1,,,,,
"Economic and Social Research Council",,,,,,,,,,,2,,,,,,,,,,,
"Education and Skills Funding Agency",24,7,58,,,,2,,57,56,597,2,,9,,3,79,17,172,,,74
"Education Funding Agency",,,1,,,,,,,1,16,,,1,,,,,3,,,
"Efficiency and Reform Group",4,,,,,,,,,,1,,,,,,,,3,,,
"Employment Tribunal",,,,,,,,,,,4,,,,,,,,,,,
"Engineering and Physical Sciences Research Council",,,,,,,,,,,2,,,,,,,,,,,
"Engineering Construction Industry Training Board",,,,,,,,,,,1,,,,,,,,,,,
"English Institute of Sport",,,,,,,,,,,2,,,,,,,,,,,
"Environment Agency",5,4,24,,,,2,,13,4,1667,,1,,,,63,7,85,,,5
"Family Procedure Rule Committee",,1,,,,,,,,,7,,,,,,,,,,,
"FCO Services",22,,,,,,,,1,,8,,,,,,,,,,,
"Financial Conduct Authority",,,,,,,,,,,5,,,,,,,,,,,
"Financial Reporting Council",,,,,,,,,,,7,,,,,,,,,,,
"Financial Services Trade and Investment Board",,,,,,,,,,,1,,,,,,,,,,,
"Food Standards Agency",,5,,,,,,,,,18,,,,,,1,,1,,,1
"Foreign & Commonwealth Office",790,67,89,,,,3,,34,135,2289,,,1,,,7,,32,32,,
"Forensic Science Regulator",,,,,,,,,4,,16,,,,,,,,,,,
"Forest Enterprise (England)",,,,,,,,,,,3,,,,,,,,,,,
"Forest Research",,,,,,,,,,,2,,,,,,,,,,,
"Forestry Commission",8,15,5,,,,,,1,,454,,1,,,,6,1,8,,,
"Gambling Commission",,,,,,,,,,,2,,,,,,,,,,,
"Gangmasters Licensing Authority",2,,,,,,,,2,,3,,,,,,,,,,,
"Government Actuary's Department",17,,,,,,,,,,125,,,,,,,,1,,,
"Government Chemist",,,1,,,,,,,,31,,,,,,,,,,,
"Government Commercial Function",,,,,,,,,,,9,,,,,,,,,,,
"Government Digital Service",14,,2,,,,,1,4,11,18,,,,,,,,,,,
"Government Economic Service",,2,8,,,,,,,,26,,,,,,,,,,,
"Government Equalities Office",,,1,,,,,,9,,33,,,,,,1,,,,,
"Government Internal Audit Agency",,,,,,,,,,,6,,,,,,,,,,,
"Government Legal Department",49,15,,,,,,,,,28,,,,,,3,,9,,,
"Government Legal Profession",,,,,,,,,,,11,,,,,,,,,,,
"Government Legal Service",,,,,,,,,,,6,,,,,,,,,,,
"Government Office for Science",,,2,,,,,,,,29,,,,,,,,,,,
"Government Property Agency",,,,,,,,,,,3,,,,,,,,,,,
"Government Science & Engineering Profession",,,,,,,,,,,1,,,,,,,,,,,
"Government Social Research Profession",,,9,,,,,,,,22,,,,,,,,,,,
"Government Veterinary Services",,,,,,,,,,,1,,,,,,,,,,,
"Great Britain-China Centre",,,,,,,,,,,2,,,,,,,,,,,
"Groceries Code Adjudicator",,,3,,,,,,,8,37,,4,3,,,,,,,,
"Health and Safety Executive",,,,,,,,,,,10,,,,,1,,,,,,
"Health and Social Care Information Centre",,,7,,,,,,,,17,,,,,,,,1,,,
"Health Education England",,,,,,,,,,,2,,,,,,,,,,,
"Her Majesty’s Prison and Probation Service",3,13,8,,,,6,,34,1,93,,,1,13,,63,,27,,,3
"High Speed Two (HS2) Limited",,,,,,,,,,,1701,,,2,,,,1,6,,,
"Higher Education Funding Council for England",,,,,,,,,,,2,,,,,,,,,,,
"Highways Agency",,,,,,,,,,,6,,,,,,,,3,,,
"Highways England",28,1,12,,,,2,,,2,452,2,,,,,,,7,,,
"HM Courts & Tribunals Service",2,442,13,,,,,,,,1565,,,,,,5,,,,,
"HM Crown Prosecution Service Inspectorate",68,,,,,,,,,,3,,,,,1,3,,6,,,
"HM Inspectorate of Constabulary",22,,,,,,,,,,2,,1,,,,,,,,,
"HM Inspectorate of Constabulary and Fire & Rescue Services",22,2,4,,,,,,,,34,,1,,,,,,1,,,
"HM Inspectorate of Prisons",,2,,,,,,,,,2,,,,,,,,,,,
"HM Inspectorate of Probation",,2,4,,,,,,,,29,,,,,,,,1,,,
"HM Land Registry",71,375,19,,,,,,,,472,1,,,,1,,,34,1,5,
"HM Passport Office",1,,1,,,,,,1,,56,,,,,,,,,,,
"HM Prison Service",,,1,,,,,,31,1,11,,,,13,,60,,22,,,2
"HM Revenue & Customs",200,10,8,,,,,,45,7,3827,,,,,2,235,5,332,5,7,54
"HM Treasury",52,16,6,,,,,,50,2,766,,,,,,6,7,53,,,8
"Home Office",120,33,25,,,6,5,,312,28,1027,14,,,,,42,5,153,,,
"Homes and Communities Agency",3,6,12,,,,,,,,338,,,,,,4,1,15,,,5
"Homes England",21,11,7,,9,,,,,,112,9,,,,,,2,2,,,
"Housing Ombudsman",,,,,,,,,,,3,,,,,,,,,,,
"Human Tissue Authority",,,,,,,,,,,2,,,,,,,,,,,
"Immigration Enforcement",,,6,,,,,,67,1,78,,1,,,,18,,,,,
"Independent Anti-slavery Commissioner",,,,,,,,,,,3,,,,,,,,,,,
"Independent Case Examiner",,,,,,,,,,,2,,,,,,,,,,,
"Independent Chief Inspector of Borders and Immigration",,,,,,,,,,,32,,,,,,,,,,,
"Independent Dormant Assets Commission",,,,,,,,,,,1,,,,,,,,,,,
"Independent Office for Police Conduct",,,,,,,,,4,,3,,,,,,,,,,,
"Independent Police Complaints Commission",2,,,,,,,,2,,1,,,,,,,,,,,
"Independent Reconfiguration Panel",,12,,,,,,,,,,,,,,,,,,,,
"Independent Review Mechanism",,,,,,,,,,,15,,,,,,,,,,,
"Independent Reviewer of Terrorism Legislation",,,,,,,,,,,4,,,,,,,,,,,
"Industrial Injuries Advisory Council",,,2,,,,,,,,24,,,,2,,,,,,,
"Information Commissioner's Office",,,,,,,,,,,4,,,,,,,,,,,
"Infrastructure and Projects Authority",2,,10,,,,,,6,5,23,,,,,,6,,9,,,
"Infrastructure UK",,,,,,,,,,,9,,,,,,1,,1,,,
